category_code,brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,overall_conversion_rate,min_price,max_price,avg_price
Unknown,total,36,0,0,0,,0,5.12,64.33,27.25098039
computers.peripherals.mouse,salamander,36,1,0,0.0278,0,0,37.07,44.53,38.21769231
construction.tools.light,tp-link,36,1,1,0.0278,1,0.0278,58.92,151.61,104.4441176
Unknown,kingston,35,1,1,0.0286,1,0.0286,4.35,765.76,457.201988
Unknown,tunga,35,3,0,0.0857,0,0,24.45,43.5,30.45970297
Unknown,vitek,35,5,5,0.1429,1,0.1429,6.39,123.53,23.89160256
appliances.kitchen.grill,mattel,35,1,0,0.0286,0,0,10.27,74.88,26.3142
construction.tools.generator,tefal,35,7,3,0.2,0.4286,0.0857,11.56,56.6,24.28358491
electronics.video.tv,swat,35,1,0,0.0286,0,0,25.74,234.24,92.18027027
Unknown,michelin,34,4,0,0.1176,0,0,56.63,375.17,136.6916667
construction.tools.light,lenovo,34,0,0,0,,0,126.13,497.52,474.2487826
sport.bicycle,crown,34,2,0,0.0588,0,0,3.93,26.01,14.85427083
Unknown,matrix,33,0,0,0,,0,10.3,264.3,71.31491803
appliances.kitchen.toster,giant,33,1,0,0.0303,0,0,97.81,2573.81,903.7029333
kids.toys,defacto,33,0,0,0,,0,5.89,23.14,10.06477612
sport.trainer,bosch,33,0,0,0,,0,12.84,343.25,142.0912821
apparel.shoes,samsung,32,0,2,0,,0.0625,25.2,71.28,34.499
appliances.kitchen.hood,Unknown,32,2,1,0.0625,0.5,0.0313,21.56,112.18,53.6854717
appliances.personal.massager,acer,32,0,1,0,,0.0313,69.24,875.16,204.7749451
construction.tools.light,sony,32,2,1,0.0625,0.5,0.0313,133.57,1029.6,608.3278082
Unknown,helpfer,31,1,0,0.0323,0,0,56.63,156.76,87.2519697
apparel.costume,omron,31,7,4,0.2258,0.5714,0.129,40.15,113.16,68.12953704
apparel.scarf,bruder,31,1,0,0.0323,0,0,25.71,174.52,62.40612903
appliances.personal.massager,yasin,31,1,0,0.0323,0,0,102.94,373.21,195.0508333
construction.tools.light,bq,31,1,1,0.0323,1,0.0323,36.01,205.9,91.28852459
construction.tools.light,doogee,31,1,0,0.0323,0,0,92.83,204.86,127.6214815
construction.tools.light,oneplus,31,0,0,0,,0,457.81,882.88,613.8401163
electronics.video.tv,kenwood,31,2,0,0.0645,0,0,50.17,823.7,132.1573973
furniture.bedroom.bed,brw,31,0,0,0,,0,82.11,627.82,284.6281356
furniture.bedroom.bed,bts,31,2,2,0.0645,1,0.0645,102.94,409.25,123.6056897
furniture.living_room.sofa,mebbery,31,0,0,0,,0,375.79,913.77,675.3657447
